DateTime,Latitude,Longitude,SST(°C),SeaLevel(cm),Pressure(hPa),WindSpeed(km/h),Rainfall(mm/hr),WaveHeight(m),DO(mg/L),SeismicMag,HazardLabel,EventCategory,RiskLevel(%),RiskCategory
2025-01-01 00:00:00,13.24,87.21,30.39,55.9,985.5,23.4,2.9,7.0,6.01,0.0,Cyclone,Hydrometeorological,37.11,Medium
2025-01-01 03:00:00,8.79,83.55,31.63,-9.9,1014.7,92.6,30.6,0.55,3.12,0.0,Sea-level Rise,Oceanographic,31.84,Low
2025-01-01 06:00:00,9.95,76.67,28.2,40.2,1007.5,30.0,25.7,4.94,3.23,0.0,Tsunami,Geophysical,35.35,Medium
2025-01-01 09:00:00,14.31,72.21,31.65,52.0,993.5,2.4,11.5,2.31,6.42,6.8,Storm,Hydrometeorological,44.84,Medium
2025-01-01 12:00:00,8.48,86.55,27.55,62.9,990.9,78.0,27.3,1.89,7.85,0.0,Pollution,Environmental,38.11,Medium
2025-01-01 15:00:00,13.53,86.83,30.36,25.9,1000.0,78.1,48.1,6.83,6.74,6.6,Sea-level Rise,Oceanographic,72.45,High
2025-01-01 18:00:00,12.99,76.49,29.26,5.5,1008.1,11.2,49.3,6.29,3.99,0.0,Cyclone,Hydrometeorological,37.17,Medium
2025-01-01 21:00:00,10.78,83.38,30.74,56.7,1012.4,97.7,45.7,6.88,5.25,0.0,Sea-level Rise,Oceanographic,57.95,Medium
2025-01-02 00:00:00,12.35,77.2,30.38,60.1,1011.1,70.8,6.0,5.85,6.8,0.0,Tsunami,Geophysical,43.17,Medium
2025-01-02 03:00:00,11.58,72.65,30.26,2.2,995.4,30.3,44.8,4.07,5.82,0.0,Pollution,Environmental,33.88,Medium
2025-01-02 06:00:00,11.49,78.57,30.53,15.2,982.7,43.5,8.1,7.47,7.04,0.0,Cyclone,Hydrometeorological,38.64,Medium
2025-01-02 09:00:00,14.39,75.5,28.5,87.2,991.4,18.3,17.8,7.3,4.36,0.0,Cyclone,Hydrometeorological,42.53,Medium
2025-01-02 12:00:00,19.45,85.77,26.04,46.2,994.6,33.3,6.0,3.03,7.71,6.0,Sea-level Rise,Oceanographic,45.86,Medium
2025-01-02 15:00:00,15.81,78.46,26.39,17.9,988.6,104.4,35.6,1.61,7.99,0.0,Tsunami,Geophysical,38.6,Medium
2025-01-02 18:00:00,15.04,72.82,27.67,89.9,988.4,21.7,24.5,7.89,4.21,0.0,Storm,Hydrometeorological,45.93,Medium
2025-01-02 21:00:00,13.18,75.87,30.82,41.7,1014.4,59.8,40.8,6.49,3.75,6.5,Pollution,Environmental,68.5,High
2025-01-03 00:00:00,8.57,81.45,30.07,-8.2,997.9,34.0,32.3,1.81,6.45,0.0,Pollution,Environmental,25.24,Low
2025-01-03 03:00:00,19.73,82.81,30.41,13.0,999.0,104.4,11.4,1.81,7.91,0.0,Pollution,Environmental,35.03,Medium
2025-01-03 06:00:00,11.39,73.49,31.38,89.0,1002.2,50.9,17.5,5.94,7.49,7.7,Tsunami,Geophysical,69.65,High
2025-01-03 09:00:00,20.43,85.61,31.61,76.4,1003.4,87.1,18.6,7.55,7.87,0.0,Cyclone,Hydrometeorological,54.68,Medium
2025-01-03 12:00:00,15.68,83.07,29.91,14.7,1004.9,35.6,16.3,6.1,6.25,0.0,Sea-level Rise,Oceanographic,35.29,Medium
2025-01-03 15:00:00,12.31,80.68,29.05,60.0,988.8,88.5,48.9,4.15,7.53,0.0,Cyclone,Hydrometeorological,50.02,Medium
2025-01-03 18:00:00,15.04,81.23,28.96,11.5,1005.3,42.1,1.2,5.34,3.89,0.0,Tsunami,Geophysical,30.83,Low
2025-01-03 21:00:00,11.91,86.14,30.49,94.8,991.6,82.9,28.6,7.85,3.38,5.9,Cyclone,Hydrometeorological,76.66,High
2025-01-04 00:00:00,19.92,77.07,27.02,51.2,1012.8,104.4,28.5,1.23,6.08,0.0,Tsunami,Geophysical,39.77,Medium
2025-01-04 03:00:00,11.56,76.72,27.94,83.4,984.8,106.3,27.6,2.72,5.1,5.8,Sea-level Rise,Oceanographic,65.27,Medium
