timestamp,shoreline_change_m_per_yr,beach_slope_deg,intertidal_extent_m
2025-01-01 00:00:00,-0.2,6.38,52.6
2025-01-01 01:00:00,-0.2,5.31,51.2
2025-01-01 02:00:00,-0.2,3.38,51.5
2025-01-01 03:00:00,-0.2,3.84,48.0
2025-01-01 04:00:00,-0.2,4.84,51.1
2025-01-01 05:00:00,-0.2,5.68,48.8
2025-01-01 06:00:00,-0.2,5.07,53.0
2025-01-01 07:00:00,-0.2,5.21,54.9
2025-01-01 08:00:00,-0.2,4.57,53.5
2025-01-01 09:00:00,-0.2,6.36,50.0
2025-01-01 10:00:00,-0.2,5.18,51.4
2025-01-01 11:00:00,-0.2,5.06,53.0
2025-01-01 12:00:00,-0.2,5.35,53.2
2025-01-01 13:00:00,-0.2,4.5,57.1
2025-01-01 14:00:00,-0.2,4.58,54.0
2025-01-01 15:00:00,-0.2,5.58,52.6
2025-01-01 16:00:00,-0.2,5.93,52.5
2025-01-01 17:00:00,-0.2,6.06,51.1
2025-01-01 18:00:00,-0.2,4.77,52.2
2025-01-01 19:00:00,-0.2,5.15,54.3
2025-01-01 20:00:00,-0.2,4.27,50.0
2025-01-01 21:00:00,-0.2,5.94,53.4
2025-01-01 22:00:00,-0.2,3.87,51.8
2025-01-01 23:00:00,-0.2,5.27,57.3
2025-01-02 00:00:00,-0.2,6.05,54.8
2025-01-02 01:00:00,-0.2,5.15,54.9
2025-01-02 02:00:00,-0.2,5.36,51.3
2025-01-02 03:00:00,-0.2,4.67,58.3
2025-01-02 04:00:00,-0.2,2.78,55.4
2025-01-02 05:00:00,-0.2,4.19,58.0
2025-01-02 06:00:00,-0.2,5.05,53.4
2025-01-02 07:00:00,-0.2,4.17,53.9
2025-01-02 08:00:00,-0.2,5.58,49.8
2025-01-02 09:00:00,-0.2,3.24,59.4
2025-01-02 10:00:00,-0.2,2.68,55.0
2025-01-02 11:00:00,-0.2,5.83,59.5
2025-01-02 12:00:00,-0.2,4.63,52.9
2025-01-02 13:00:00,-0.2,5.42,55.3
2025-01-02 14:00:00,-0.2,4.37,56.9
2025-01-02 15:00:00,-0.2,5.68,54.9
2025-01-02 16:00:00,-0.2,6.63,52.9
2025-01-02 17:00:00,-0.2,6.71,52.5
2025-01-02 18:00:00,-0.2,4.22,52.9
2025-01-02 19:00:00,-0.2,4.49,61.9
2025-01-02 20:00:00,-0.2,5.2,52.0
2025-01-02 21:00:00,-0.2,7.25,47.9
2025-01-02 22:00:00,-0.2,3.62,54.0
2025-01-02 23:00:00,-0.2,3.63,54.0
2025-01-03 00:00:00,-0.2,6.04,53.9
2025-01-03 01:00:00,-0.2,4.2,53.0
2025-01-03 02:00:00,-0.2,5.79,54.1
2025-01-03 03:00:00,-0.2,4.3,50.9
2025-01-03 04:00:00,-0.2,5.42,60.2
2025-01-03 05:00:00,-0.2,4.39,55.6
2025-01-03 06:00:00,-0.2,3.79,55.2
2025-01-03 07:00:00,-0.2,5.18,58.0
2025-01-03 08:00:00,-0.2,3.54,63.0
2025-01-03 09:00:00,-0.2,5.55,53.7
2025-01-03 10:00:00,-0.2,4.72,55.8
2025-01-03 11:00:00,-0.2,3.37,57.3
2025-01-03 12:00:00,-0.2,5.36,56.9
2025-01-03 13:00:00,-0.2,5.33,57.6
2025-01-03 14:00:00,-0.2,2.18,57.6
2025-01-03 15:00:00,-0.2,4.94,53.6
2025-01-03 16:00:00,-0.2,5.01,58.5
2025-01-03 17:00:00,-0.2,5.11,54.5
2025-01-03 18:00:00,-0.2,2.82,55.7
2025-01-03 19:00:00,-0.2,5.42,56.7
2025-01-03 20:00:00,-0.2,5.62,52.7
2025-01-03 21:00:00,-0.2,3.87,56.2
2025-01-03 22:00:00,-0.2,3.32,56.7
2025-01-03 23:00:00,-0.2,3.82,49.2
2025-01-04 00:00:00,-0.2,5.15,59.1
2025-01-04 01:00:00,-0.2,3.51,52.4
2025-01-04 02:00:00,-0.2,3.38,55.7
2025-01-04 03:00:00,-0.2,7.52,59.5
2025-01-04 04:00:00,-0.2,4.99,56.8
2025-01-04 05:00:00,-0.2,4.63,58.0
2025-01-04 06:00:00,-0.2,4.2,58.2
2025-01-04 07:00:00,-0.2,4.49,53.4
2025-01-04 08:00:00,-0.2,7.16,51.8
2025-01-04 09:00:00,-0.2,5.98,56.1
2025-01-04 10:00:00,-0.2,7.86,57.0
2025-01-04 11:00:00,-0.2,5.47,58.2
2025-01-04 12:00:00,-0.2,3.85,57.2
2025-01-04 13:00:00,-0.2,5.33,53.4
2025-01-04 14:00:00,-0.2,5.66,57.5
2025-01-04 15:00:00,-0.2,5.74,48.6
2025-01-04 16:00:00,-0.2,4.47,58.7
2025-01-04 17:00:00,-0.2,7.16,52.2
2025-01-04 18:00:00,-0.2,3.48,52.1
2025-01-04 19:00:00,-0.2,5.41,62.3
2025-01-04 20:00:00,-0.2,4.65,55.0
2025-01-04 21:00:00,-0.2,4.07,54.1
2025-01-04 22:00:00,-0.2,5.3,51.4
2025-01-04 23:00:00,-0.2,6.51,56.2
2025-01-05 00:00:00,-0.2,5.48,56.3
2025-01-05 01:00:00,-0.2,5.33,52.9
2025-01-05 02:00:00,-0.2,2.58,47.5
2025-01-05 03:00:00,-0.2,6.11,58.8
2025-01-05 04:00:00,-0.2,4.51,53.0
2025-01-05 05:00:00,-0.2,5.64,53.0
2025-01-05 06:00:00,-0.2,6.1,53.8
2025-01-05 07:00:00,-0.2,5.23,51.5
2025-01-05 08:00:00,-0.2,2.6,57.7
2025-01-05 09:00:00,-0.2,6.7,56.1
2025-01-05 10:00:00,-0.2,7.17,55.4
2025-01-05 11:00:00,-0.2,5.98,60.8
2025-01-05 12:00:00,-0.2,4.13,51.8
2025-01-05 13:00:00,-0.2,6.48,57.7
2025-01-05 14:00:00,-0.2,4.66,47.2
2025-01-05 15:00:00,-0.2,4.92,55.8
2025-01-05 16:00:00,-0.2,6.44,60.7
2025-01-05 17:00:00,-0.2,5.78,50.8
2025-01-05 18:00:00,-0.2,2.18,58.8
2025-01-05 19:00:00,-0.2,5.25,49.8
2025-01-05 20:00:00,-0.2,6.42,60.1
2025-01-05 21:00:00,-0.2,3.36,52.5
2025-01-05 22:00:00,-0.2,6.17,51.7
2025-01-05 23:00:00,-0.2,3.0,52.3
2025-01-06 00:00:00,-0.2,4.74,52.3
2025-01-06 01:00:00,-0.2,5.65,51.7
2025-01-06 02:00:00,-0.2,4.7,52.0
2025-01-06 03:00:00,-0.2,6.41,53.1
2025-01-06 04:00:00,-0.2,3.3,52.9
2025-01-06 05:00:00,-0.2,5.98,52.2
