timestamp,ais_density_ships_per_km2,distance_to_nearest_outfall_km,dumping_hotspot_flag
2025-01-01 00:00:00,0.081,3.08,0
2025-01-01 01:00:00,0.584,3.39,0
2025-01-01 02:00:00,0.477,4.66,0
2025-01-01 03:00:00,0.459,7.0,0
2025-01-01 04:00:00,1.193,3.42,0
2025-01-01 05:00:00,0.507,3.57,0
2025-01-01 06:00:00,0.021,2.33,0
2025-01-01 07:00:00,1.539,2.11,0
2025-01-01 08:00:00,2.002,4.72,0
2025-01-01 09:00:00,1.47,3.57,0
2025-01-01 10:00:00,0.798,5.74,0
2025-01-01 11:00:00,1.303,5.55,0
2025-01-01 12:00:00,0.718,5.07,0
2025-01-01 13:00:00,0.617,0.87,0
2025-01-01 14:00:00,1.081,4.73,0
2025-01-01 15:00:00,1.166,1.82,0
2025-01-01 16:00:00,1.078,0.11,0
2025-01-01 17:00:00,2.203,3.9,0
2025-01-01 18:00:00,1.226,5.94,0
2025-01-01 19:00:00,1.776,4.78,0
2025-01-01 20:00:00,2.539,1.91,0
2025-01-01 21:00:00,0.611,8.53,0
2025-01-01 22:00:00,0.859,4.97,0
2025-01-01 23:00:00,1.127,1.98,0
2025-01-02 00:00:00,0.849,0.18,0
2025-01-02 01:00:00,0.689,3.13,0
2025-01-02 02:00:00,1.737,0.04,0
2025-01-02 03:00:00,1.279,1.65,0
2025-01-02 04:00:00,0.041,0.44,0
2025-01-02 05:00:00,1.343,2.14,0
2025-01-02 06:00:00,2.16,2.54,0
2025-01-02 07:00:00,1.917,1.93,0
2025-01-02 08:00:00,1.65,7.64,0
2025-01-02 09:00:00,2.131,3.16,0
2025-01-02 10:00:00,1.73,5.89,0
2025-01-02 11:00:00,1.547,4.52,0
2025-01-02 12:00:00,1.28,3.13,0
2025-01-02 13:00:00,0.557,2.64,0
2025-01-02 14:00:00,0.376,5.93,0
2025-01-02 15:00:00,1.664,1.63,0
2025-01-02 16:00:00,1.653,2.37,0
2025-01-02 17:00:00,1.174,2.34,1
2025-01-02 18:00:00,0.686,3.63,0
2025-01-02 19:00:00,0.522,1.86,0
2025-01-02 20:00:00,0.983,5.19,0
2025-01-02 21:00:00,1.081,5.43,0
2025-01-02 22:00:00,1.695,2.21,0
2025-01-02 23:00:00,0.79,4.45,0
2025-01-03 00:00:00,0.915,1.99,0
2025-01-03 01:00:00,1.25,3.82,0
2025-01-03 02:00:00,0.774,5.61,0
2025-01-03 03:00:00,0.947,3.69,0
