timestamp,sea_level_residual_m,significant_wave_height_m,wave_period_s,swell_direction_deg
2025-01-01 00:00:00,0.31,1.25,5.63,280.0
2025-01-01 01:00:00,-0.204,1.11,2.78,117.0
2025-01-01 02:00:00,0.445,0.92,10.46,236.0
2025-01-01 03:00:00,0.311,0.91,6.21,161.0
2025-01-01 04:00:00,0.101,0.68,6.14,167.0
2025-01-01 05:00:00,-0.376,0.69,4.19,191.0
2025-01-01 06:00:00,0.369,1.29,4.28,132.0
2025-01-01 07:00:00,-0.018,0.31,5.92,179.0
2025-01-01 08:00:00,0.217,0.98,6.44,116.0
2025-01-01 09:00:00,0.147,0.88,6.88,199.0
2025-01-01 10:00:00,0.515,1.25,6.32,269.0
2025-01-01 11:00:00,0.099,0.44,4.61,154.0
2025-01-01 12:00:00,0.126,1.02,3.03,173.0
2025-01-01 13:00:00,0.525,1.15,5.91,175.0
2025-01-01 14:00:00,-0.034,0.25,5.39,219.0
2025-01-01 15:00:00,0.334,0.58,4.52,196.0
2025-01-01 16:00:00,0.081,0.97,7.03,217.0
2025-01-01 17:00:00,-0.12,1.22,4.14,160.0
2025-01-01 18:00:00,0.13,1.08,6.78,197.0
2025-01-01 19:00:00,0.303,1.23,4.34,45.0
2025-01-01 20:00:00,0.469,0.58,6.2,207.0
2025-01-01 21:00:00,0.499,0.37,7.16,131.0
2025-01-01 22:00:00,0.056,1.04,5.63,167.0
2025-01-01 23:00:00,-0.117,0.52,8.06,210.0
2025-01-02 00:00:00,0.155,0.67,8.37,119.0
2025-01-02 01:00:00,-0.061,1.39,6.35,224.0
2025-01-02 02:00:00,0.18,1.1,6.72,175.0
2025-01-02 03:00:00,0.149,0.79,7.34,238.0
2025-01-02 04:00:00,0.416,0.74,6.72,144.0
2025-01-02 05:00:00,-0.317,1.27,6.59,107.0
2025-01-02 06:00:00,0.051,1.11,5.44,179.0
2025-01-02 07:00:00,0.053,0.54,4.04,203.0
2025-01-02 08:00:00,0.531,0.24,4.4,207.0
2025-01-02 09:00:00,-0.044,1.77,8.93,135.0
2025-01-02 10:00:00,0.291,0.53,6.46,115.0
2025-01-02 11:00:00,0.203,1.23,5.77,168.0
2025-01-02 12:00:00,0.495,1.63,7.59,201.0
2025-01-02 13:00:00,0.384,1.08,5.17,199.0
2025-01-02 14:00:00,0.265,0.78,6.77,243.0
2025-01-02 15:00:00,0.096,0.45,6.16,165.0
2025-01-02 16:00:00,-0.229,0.44,6.62,106.0
2025-01-02 17:00:00,0.296,1.17,5.67,228.0
2025-01-02 18:00:00,0.367,1.6,4.91,188.0
2025-01-02 19:00:00,-0.159,0.86,5.08,191.0
2025-01-02 20:00:00,-0.074,0.8,5.13,211.0
2025-01-02 21:00:00,0.298,1.3,6.07,231.0
2025-01-02 22:00:00,0.319,0.75,4.2,179.0
2025-01-02 23:00:00,-0.013,1.13,4.57,227.0
2025-01-03 00:00:00,0.149,1.05,6.27,202.0
2025-01-03 01:00:00,-0.167,0.87,5.95,154.0
2025-01-03 02:00:00,0.637,1.03,6.33,171.0
2025-01-03 03:00:00,-0.032,1.74,6.05,205.0
2025-01-03 04:00:00,0.428,1.27,9.13,152.0
2025-01-03 05:00:00,0.284,1.47,6.26,215.0
2025-01-03 06:00:00,0.615,0.66,5.65,186.0
2025-01-03 07:00:00,0.094,1.47,6.23,195.0
2025-01-03 08:00:00,0.308,1.29,7.33,238.0
2025-01-03 09:00:00,-0.132,0.43,6.04,194.0
2025-01-03 10:00:00,-0.192,1.25,6.93,183.0
2025-01-03 11:00:00,0.442,0.83,6.58,177.0
2025-01-03 12:00:00,-0.154,0.41,5.76,175.0
2025-01-03 13:00:00,0.235,1.08,6.24,192.0
2025-01-03 14:00:00,0.545,1.25,8.02,235.0
2025-01-03 15:00:00,0.479,1.09,6.4,156.0
2025-01-03 16:00:00,0.126,0.99,4.92,153.0
2025-01-03 17:00:00,-0.105,0.9,5.72,231.0
2025-01-03 18:00:00,0.42,2.02,3.57,157.0
2025-01-03 19:00:00,0.628,0.56,6.27,189.0
2025-01-03 20:00:00,0.127,1.38,7.68,156.0
2025-01-03 21:00:00,0.092,1.04,4.49,113.0
2025-01-03 22:00:00,0.161,0.69,6.28,188.0
2025-01-03 23:00:00,0.435,1.01,7.29,225.0
2025-01-04 00:00:00,0.6,0.48,7.45,178.0
2025-01-04 01:00:00,-0.017,0.8,7.67,121.0
2025-01-04 02:00:00,-0.082,1.02,3.9,184.0
2025-01-04 03:00:00,0.877,0.42,6.74,150.0
2025-01-04 04:00:00,0.248,1.24,4.33,75.0
2025-01-04 05:00:00,0.356,0.66,4.94,177.0
2025-01-04 06:00:00,0.119,0.46,7.12,201.0
2025-01-04 07:00:00,0.415,0.61,6.33,227.0
2025-01-04 08:00:00,0.532,1.91,7.01,250.0
2025-01-04 09:00:00,0.367,0.25,5.02,206.0
2025-01-04 10:00:00,0.728,1.22,7.91,217.0
2025-01-04 11:00:00,0.211,0.74,6.96,129.0
2025-01-04 12:00:00,0.227,0.9,7.2,245.0
2025-01-04 13:00:00,0.35,1.28,4.84,231.0
2025-01-04 14:00:00,0.409,1.26,7.54,165.0
2025-01-04 15:00:00,0.349,0.77,5.76,207.0
2025-01-04 16:00:00,-0.029,0.5,5.4,203.0
2025-01-04 17:00:00,0.371,1.29,6.89,239.0
2025-01-04 18:00:00,0.199,1.26,6.84,174.0
2025-01-04 19:00:00,0.147,0.93,5.12,150.0
2025-01-04 20:00:00,0.301,1.22,8.61,160.0
2025-01-04 21:00:00,0.052,0.86,8.32,216.0
2025-01-04 22:00:00,0.009,0.71,6.86,103.0
2025-01-04 23:00:00,-0.361,1.04,6.65,60.0
2025-01-05 00:00:00,0.671,1.26,6.57,216.0
2025-01-05 01:00:00,0.373,1.18,4.31,191.0
2025-01-05 02:00:00,0.205,1.26,6.31,181.0
2025-01-05 03:00:00,0.068,0.75,6.29,128.0
2025-01-05 04:00:00,-0.484,1.68,5.48,112.0
2025-01-05 05:00:00,0.052,0.92,5.8,155.0
2025-01-05 06:00:00,0.414,1.0,3.31,194.0
2025-01-05 07:00:00,0.47,0.52,4.85,157.0
2025-01-05 08:00:00,0.395,0.97,7.28,216.0
2025-01-05 09:00:00,0.274,1.26,8.25,142.0
2025-01-05 10:00:00,0.561,1.36,5.04,159.0
2025-01-05 11:00:00,0.152,1.68,6.39,208.0
2025-01-05 12:00:00,0.506,1.26,7.49,165.0
2025-01-05 13:00:00,0.138,1.16,5.55,167.0
2025-01-05 14:00:00,0.014,0.87,6.98,154.0
2025-01-05 15:00:00,-0.017,0.79,6.13,147.0
2025-01-05 16:00:00,-0.032,1.44,7.6,194.0
2025-01-05 17:00:00,0.399,1.43,4.63,199.0
2025-01-05 18:00:00,0.049,0.62,4.85,189.0
2025-01-05 19:00:00,-0.024,1.34,6.51,155.0
2025-01-05 20:00:00,0.413,1.31,6.29,172.0
2025-01-05 21:00:00,0.317,0.61,6.1,244.0
2025-01-05 22:00:00,0.475,1.27,6.86,123.0
2025-01-05 23:00:00,0.363,0.63,5.05,255.0
2025-01-06 00:00:00,-0.058,0.09,4.56,184.0
2025-01-06 01:00:00,0.149,1.0,5.6,173.0
2025-01-06 02:00:00,0.161,1.17,5.74,218.0
2025-01-06 03:00:00,-0.1,1.02,5.86,97.0
2025-01-06 04:00:00,-0.146,2.21,7.73,235.0
2025-01-06 05:00:00,-0.04,1.21,7.13,254.0
2025-01-06 06:00:00,0.639,1.12,6.84,224.0
2025-01-06 07:00:00,0.027,1.23,6.47,96.0
2025-01-06 08:00:00,0.438,0.89,5.68,211.0
2025-01-06 09:00:00,0.013,1.43,5.18,246.0
2025-01-06 10:00:00,0.352,1.21,4.77,242.0
2025-01-06 11:00:00,0.356,1.19,5.37,124.0
2025-01-06 12:00:00,0.368,0.81,6.15,221.0
2025-01-06 13:00:00,0.227,0.44,4.82,252.0
2025-01-06 14:00:00,0.475,0.86,6.41,181.0
2025-01-06 15:00:00,0.225,1.18,5.97,122.0
2025-01-06 16:00:00,0.559,0.88,5.73,213.0
2025-01-06 17:00:00,-0.275,1.18,7.6,222.0
2025-01-06 18:00:00,0.217,0.97,3.25,174.0
2025-01-06 19:00:00,0.201,1.23,5.74,132.0
2025-01-06 20:00:00,-0.104,0.67,3.38,219.0
2025-01-06 21:00:00,0.275,1.14,6.49,149.0
2025-01-06 22:00:00,-0.242,0.81,7.12,196.0
2025-01-06 23:00:00,-0.033,0.45,4.58,242.0
2025-01-07 00:00:00,-0.5,1.01,4.77,114.0
2025-01-07 01:00:00,0.39,1.69,4.2,216.0
2025-01-07 02:00:00,-0.058,0.49,6.31,172.0
2025-01-07 03:00:00,0.542,1.12,5.83,173.0
2025-01-07 04:00:00,0.201,1.39,5.9,201.0
2025-01-07 05:00:00,0.112,1.99,5.79,149.0
2025-01-07 06:00:00,-0.147,0.88,5.07,133.0
2025-01-07 07:00:00,-0.262,0.82,7.59,109.0
2025-01-07 08:00:00,0.131,0.61,6.56,229.0
2025-01-07 09:00:00,-0.018,1.53,4.81,165.0
2025-01-07 10:00:00,-0.335,0.73,5.39,203.0
2025-01-07 11:00:00,-0.379,0.92,5.19,161.0
2025-01-07 12:00:00,-0.24,0.33,7.92,134.0
2025-01-07 13:00:00,0.455,1.43,7.09,206.0
2025-01-07 14:00:00,0.553,1.54,6.08,193.0
2025-01-07 15:00:00,0.051,1.41,8.28,171.0
2025-01-07 16:00:00,0.037,0.43,7.98,192.0
2025-01-07 17:00:00,-0.084,1.32,5.96,142.0
2025-01-07 18:00:00,-0.234,0.4,5.74,222.0
2025-01-07 19:00:00,0.344,1.1,5.8,232.0
2025-01-07 20:00:00,0.468,1.15,5.09,210.0
2025-01-07 21:00:00,-0.223,1.2,8.32,165.0
2025-01-07 22:00:00,-0.021,1.29,5.03,182.0
2025-01-07 23:00:00,-0.112,1.07,7.28,243.0
2025-01-08 00:00:00,-0.235,0.3,7.09,231.0
2025-01-08 01:00:00,0.166,1.3,5.9,260.0
2025-01-08 02:00:00,-0.458,1.12,8.44,149.0
2025-01-08 03:00:00,-0.014,0.72,4.39,145.0
2025-01-08 04:00:00,0.052,0.45,6.17,185.0
2025-01-08 05:00:00,-0.166,1.7,5.68,196.0
2025-01-08 06:00:00,0.093,1.58,7.42,174.0
2025-01-08 07:00:00,-0.093,1.37,6.69,164.0
2025-01-08 08:00:00,0.174,0.81,4.19,231.0
2025-01-08 09:00:00,-0.511,0.08,7.75,176.0
2025-01-08 10:00:00,-0.217,1.39,6.85,131.0
2025-01-08 11:00:00,-0.148,1.23,5.02,136.0
2025-01-08 12:00:00,-0.798,0.93,5.85,190.0
2025-01-08 13:00:00,-0.402,1.53,4.71,300.0
2025-01-08 14:00:00,-0.334,1.42,6.06,141.0
