timestamp,chlorophyll_mg_m3,turbidity_NTU,cdom_mg_m3
2025-01-01 00:00:00,2.25,7.44,0.847
2025-01-01 01:00:00,1.9,5.44,1.099
2025-01-01 02:00:00,2.12,6.15,0.736
2025-01-01 03:00:00,2.2,5.62,0.926
2025-01-01 04:00:00,1.93,6.6,0.945
2025-01-01 05:00:00,2.78,9.51,0.644
2025-01-01 06:00:00,1.51,5.6,0.939
2025-01-01 07:00:00,1.34,6.85,0.404
2025-01-01 08:00:00,0.77,5.07,1.057
2025-01-01 09:00:00,2.28,7.53,1.22
2025-01-01 10:00:00,1.49,7.02,1.054
2025-01-01 11:00:00,2.59,9.13,1.202
2025-01-01 12:00:00,1.98,4.81,0.637
2025-01-01 13:00:00,1.63,7.85,0.772
2025-01-01 14:00:00,1.2,9.0,0.859
2025-01-01 15:00:00,2.34,5.59,0.86
2025-01-01 16:00:00,1.8,6.21,0.719
2025-01-01 17:00:00,1.99,6.85,0.6
2025-01-01 18:00:00,2.19,5.99,1.26
2025-01-01 19:00:00,1.99,6.82,0.62
2025-01-01 20:00:00,1.32,7.81,1.242
2025-01-01 21:00:00,2.14,6.24,0.952
2025-01-01 22:00:00,2.32,6.22,0.879
2025-01-01 23:00:00,2.05,7.0,0.964
2025-01-02 00:00:00,2.24,5.57,1.236
2025-01-02 01:00:00,2.3,5.67,0.199
2025-01-02 02:00:00,1.62,4.57,0.945
2025-01-02 03:00:00,1.6,6.29,0.892
2025-01-02 04:00:00,3.2,7.27,0.902
2025-01-02 05:00:00,2.66,5.83,1.09
2025-01-02 06:00:00,1.83,4.82,0.703
2025-01-02 07:00:00,2.27,6.18,0.567
2025-01-02 08:00:00,1.3,7.16,0.509
2025-01-02 09:00:00,1.5,6.63,0.628
2025-01-02 10:00:00,1.11,10.83,1.027
2025-01-02 11:00:00,2.03,5.06,0.981
2025-01-02 12:00:00,2.04,6.07,1.076
2025-01-02 13:00:00,2.51,7.93,0.74
2025-01-02 14:00:00,1.74,4.98,0.751
2025-01-02 15:00:00,2.5,10.23,1.269
2025-01-02 16:00:00,2.25,6.38,1.11
2025-01-02 17:00:00,3.34,7.49,1.043
2025-01-02 18:00:00,2.86,6.41,0.399
2025-01-02 19:00:00,2.76,8.41,1.345
2025-01-02 20:00:00,2.36,4.24,0.832
2025-01-02 21:00:00,1.33,9.51,0.898
2025-01-02 22:00:00,2.04,6.83,0.967
2025-01-02 23:00:00,3.21,7.69,0.896
2025-01-03 00:00:00,2.2,4.74,0.838
2025-01-03 01:00:00,1.4,6.89,0.918
2025-01-03 02:00:00,2.09,4.28,1.04
2025-01-03 03:00:00,1.3,8.56,1.094
2025-01-03 04:00:00,1.38,3.63,1.186
2025-01-03 05:00:00,2.14,6.52,0.607
2025-01-03 06:00:00,2.34,5.44,0.745
2025-01-03 07:00:00,1.41,3.09,1.095
2025-01-03 08:00:00,1.56,4.34,0.489
2025-01-03 09:00:00,1.04,7.11,0.922
2025-01-03 10:00:00,1.82,4.42,0.685
2025-01-03 11:00:00,0.73,4.88,1.019
2025-01-03 12:00:00,1.71,6.96,0.67
2025-01-03 13:00:00,1.94,8.04,0.791
2025-01-03 14:00:00,0.84,7.54,0.809
2025-01-03 15:00:00,1.29,6.12,0.943
2025-01-03 16:00:00,1.86,6.65,1.121
2025-01-03 17:00:00,1.77,6.45,1.139
2025-01-03 18:00:00,1.8,4.14,0.933
2025-01-03 19:00:00,2.07,6.77,0.604
2025-01-03 20:00:00,0.89,4.12,1.526
2025-01-03 21:00:00,2.32,7.44,0.86
2025-01-03 22:00:00,1.7,6.48,0.95
2025-01-03 23:00:00,1.53,1.89,0.942
2025-01-04 00:00:00,0.8,7.96,0.994
2025-01-04 01:00:00,1.76,4.96,0.694
2025-01-04 02:00:00,2.23,4.79,1.016
2025-01-04 03:00:00,2.01,7.92,1.361
2025-01-04 04:00:00,2.02,5.68,0.404
2025-01-04 05:00:00,1.72,7.2,0.914
2025-01-04 06:00:00,1.89,4.7,0.626
2025-01-04 07:00:00,1.26,7.61,1.153
2025-01-04 08:00:00,1.92,6.4,1.191
2025-01-04 09:00:00,1.63,6.81,0.874
2025-01-04 10:00:00,1.25,5.65,0.921
2025-01-04 11:00:00,2.37,9.26,0.686
2025-01-04 12:00:00,0.98,9.74,0.317
2025-01-04 13:00:00,2.24,1.6,0.838
2025-01-04 14:00:00,2.27,7.86,0.853
2025-01-04 15:00:00,1.61,3.84,0.917
2025-01-04 16:00:00,2.54,7.02,0.086
2025-01-04 17:00:00,1.59,2.45,0.475
2025-01-04 18:00:00,1.56,6.81,0.535
2025-01-04 19:00:00,1.2,4.33,0.927
2025-01-04 20:00:00,1.92,5.09,1.052
2025-01-04 21:00:00,1.35,5.14,0.615
2025-01-04 22:00:00,1.45,4.53,0.837
2025-01-04 23:00:00,1.88,4.59,0.761
2025-01-05 00:00:00,1.94,4.95,1.437
2025-01-05 01:00:00,2.7,5.44,0.832
2025-01-05 02:00:00,2.51,6.4,0.822
2025-01-05 03:00:00,2.28,9.47,0.725
2025-01-05 04:00:00,1.86,3.86,0.453
2025-01-05 05:00:00,1.71,6.0,1.09
2025-01-05 06:00:00,1.93,7.3,0.862
2025-01-05 07:00:00,1.62,4.33,0.831
2025-01-05 08:00:00,1.53,1.24,0.974
2025-01-05 09:00:00,1.9,1.93,0.534
2025-01-05 10:00:00,1.42,1.31,1.371
2025-01-05 11:00:00,1.46,8.83,0.473
2025-01-05 12:00:00,2.52,6.98,1.373
2025-01-05 13:00:00,1.12,7.26,0.925
2025-01-05 14:00:00,1.33,7.71,0.832
2025-01-05 15:00:00,2.71,4.6,1.096
2025-01-05 16:00:00,1.71,10.36,0.842
2025-01-05 17:00:00,2.78,6.42,1.162
2025-01-05 18:00:00,1.25,5.6,1.006
2025-01-05 19:00:00,1.99,7.97,1.107
2025-01-05 20:00:00,2.41,7.08,1.189
2025-01-05 21:00:00,1.41,8.42,0.885
2025-01-05 22:00:00,2.95,8.54,1.17
2025-01-05 23:00:00,1.72,5.04,1.058
2025-01-06 00:00:00,2.28,5.84,1.282
2025-01-06 01:00:00,1.57,3.65,0.857
2025-01-06 02:00:00,2.87,2.21,1.29
2025-01-06 03:00:00,2.16,7.14,0.755
2025-01-06 04:00:00,3.23,7.38,0.447
2025-01-06 05:00:00,2.68,1.5,0.607
2025-01-06 06:00:00,2.48,4.03,0.866
2025-01-06 07:00:00,1.4,5.58,1.014
2025-01-06 08:00:00,2.03,5.77,0.953
2025-01-06 09:00:00,1.79,9.55,1.145
2025-01-06 10:00:00,1.99,4.21,0.648
2025-01-06 11:00:00,2.06,5.12,1.38
2025-01-06 12:00:00,1.44,6.76,1.285
2025-01-06 13:00:00,1.88,4.76,1.182
2025-01-06 14:00:00,1.92,4.45,1.265
2025-01-06 15:00:00,1.37,4.29,0.56
2025-01-06 16:00:00,2.46,5.93,1.123
2025-01-06 17:00:00,2.11,5.11,1.134
2025-01-06 18:00:00,2.46,6.83,1.19
2025-01-06 19:00:00,2.27,6.18,1.16
2025-01-06 20:00:00,0.95,0.37,1.06
2025-01-06 21:00:00,1.48,1.96,1.05
2025-01-06 22:00:00,2.97,4.46,1.247
2025-01-06 23:00:00,2.45,7.42,0.793
2025-01-07 00:00:00,1.03,3.85,1.058
2025-01-07 01:00:00,2.28,5.91,0.828
2025-01-07 02:00:00,1.5,6.35,0.928
